epoch,average_reward,average_q_value
164,0.0,-0.06229344718158245
165,0.0,-0.061065917387604716
166,0.1,-0.06310109205543996
167,0.0,-0.06234374664723873
168,0.0,-0.0629007163643837
169,0.0,-0.06331231839954853
170,0.0,-0.0645043344795704
171,0.1,-0.0632404162734747
172,0.1,-0.0645598990470171
173,0.0,-0.06407899521291256
174,0.1,-0.06384089522063732
175,0.0,-0.0653335014730692
176,0.0,-0.06346492655575275
177,0.0,-0.06403374910354614
178,0.1,-0.06514467865228653
179,0.0,-0.0669705768674612
180,0.0,-0.06636948011815548
181,0.0,-0.06613557793200016
182,0.1,-0.0660604017227888
183,0.0,-0.06596204154193401
184,0.0,-0.06647046349942684
185,0.0,-0.06795180395245552
186,0.1,-0.06986919976770878
187,0.0,-0.07025368213653564
188,0.0,-0.0702017915993929
189,0.0,-0.07049315690994262
190,0.1,-0.07146584011614322
191,0.0,-0.07086299255490303
192,0.1,-0.07430336959660053
193,0.0,-0.07391786955296993
194,0.0,-0.073737368658185
195,0.0,-0.07438842721283435
196,0.1,-0.07396891094744205
197,0.0,-0.07308126457035541
198,0.0,-0.07704947456717491
199,0.0,-0.0776297813653946
200,0.0,-0.07688626319169999
201,0.0,-0.07806906193494796
202,0.3,-0.07804715484380723
203,0.0,-0.07809672512114048
204,0.0,-0.08137554071843624
205,0.1,-0.07988677196204662
206,0.2,-0.0820075248926878
207,0.1,-0.08290485888719559
208,0.1,-0.08288391515612602
209,0.1,-0.08298403307795525
210,0.2,-0.08566991314291954
211,0.1,-0.08579821698367596
212,0.0,-0.08531536623835563
213,0.0,-0.088785350471735
214,0.0,-0.08665266901254653
215,0.1,-0.08986364305019379
216,0.0,-0.08767110049724579
217,0.0,-0.09397059842944146
218,0.1,-0.09275496482849122
219,0.0,-0.09691842555999756
220,0.0,-0.09421015858650207
221,0.0,-0.09544306159019471
222,0.0,-0.09559445753693581
223,0.1,-0.09760899364948272
224,0.1,-0.0967825411260128
225,0.1,-0.10042485252022743
226,0.0,-0.09897431910037995
227,0.0,-0.10271280825138092
228,0.1,-0.1024149665236473
229,0.0,-0.10203805685043335
230,0.0,-0.10464628621935844
231,0.1,-0.10303095951676369
232,0.1,-0.10634186804294586
233,0.0,-0.1038129460811615
234,0.1,-0.10860865786671639
