S1,action,reward,S2
"[0.04, 0, 0.14999999999999994, 1.8958333333333333, False]",3,0,"[0.04, 0, 0.35, 2.395833333333333, False]"
"[0.04, 0, 0.35, 2.395833333333333, False]",0,5,"[0.04, 0, 0.35833333333333334, 2.4166666666666665, False]"
"[0.04, 0, 0.35833333333333334, 2.4166666666666665, False]",0,5,"[0.04, 0, 0.3666666666666667, 2.4375, False]"
"[0.04, 0, 0.3666666666666667, 2.4375, False]",4,0,"[0.04, 1, 0.3666666666666667, 2.4375, False]"
"[0.04, 1, 0.3666666666666667, 2.4375, False]",4,0,"[0.04, 0, 0.3666666666666667, 2.4375, False]"
"[0.04, 0, 0.3666666666666667, 2.4375, False]",1,0,"[0.05, 0, 0.35833333333333334, 2.4166666666666665, False]"
"[0.05, 0, 0.35833333333333334, 2.4166666666666665, False]",3,0,"[0.02, 0, 0.5583333333333333, 2.9166666666666665, False]"
"[0.02, 0, 0.5583333333333333, 2.9166666666666665, False]",4,0,"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]",1,0,"[0.01, 1, 0.5583333333333333, 2.895833333333333, False]"
"[0.01, 1, 0.5583333333333333, 2.895833333333333, False]",0,0,"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]",2,5,"[0.05, 1, 0.5583333333333333, 2.4166666666666665, False]"
"[0.05, 1, 0.5583333333333333, 2.4166666666666665, False]",0,0,"[0.04, 1, 0.5583333333333333, 2.4375, False]"
"[0.04, 1, 0.5583333333333333, 2.4375, False]",1,0,"[0.05, 1, 0.5583333333333333, 2.4166666666666665, False]"
"[0.05, 1, 0.5583333333333333, 2.4166666666666665, False]",0,0,"[0.04, 1, 0.5583333333333333, 2.4375, False]"
"[0.04, 1, 0.5583333333333333, 2.4375, False]",1,0,"[0.04, 1, 0.5583333333333333, 2.4166666666666665, False]"
"[0.04, 1, 0.5583333333333333, 2.4166666666666665, False]",3,0,"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.02, 1, 0.5583333333333333, 2.9166666666666665, False]",0,0,"[0.02, 1, 0.5583333333333333, 2.9375, False]"
"[0.02, 1, 0.5583333333333333, 2.9375, False]",1,0,"[0.01, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.01, 1, 0.5583333333333333, 2.9166666666666665, False]",0,0,"[0.02, 1, 0.5583333333333333, 2.9375, False]"
"[0.02, 1, 0.5583333333333333, 2.9375, False]",1,0,"[0.01, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.01, 1, 0.5583333333333333, 2.9166666666666665, False]",3,0,"[0.02, 1, 0.5583333333333333, 3.4166666666666665, False]"
"[0.02, 1, 0.5583333333333333, 3.4166666666666665, False]",2,5,"[0.05, 1, 0.5583333333333333, 2.9166666666666665, False]"
"[0.05, 1, 0.5583333333333333, 2.9166666666666665, False]",1,0,"[0.05, 1, 0.5583333333333333, 2.895833333333333, False]"
"[0.05, 1, 0.5583333333333333, 2.895833333333333, False]",3,0,"[0.01, 1, 0.5583333333333333, 3.395833333333333, False]"
"[0.01, 1, 0.5583333333333333, 3.395833333333333, False]",1,0,"[0.01, 1, 0.5583333333333333, 3.3749999999999996, False]"
"[0.01, 1, 0.5583333333333333, 3.3749999999999996, False]",3,0,"[0.02, 1, 0.5583333333333333, 3.8749999999999996, False]"
"[0.02, 1, 0.5583333333333333, 3.8749999999999996, False]",3,0,"[0.02, 1, 0.5583333333333333, 4.375, False]"
"[0.02, 1, 0.5583333333333333, 4.375, False]",0,0,"[0.02, 1, 0.5583333333333333, 4.395833333333333, False]"
"[0.02, 1, 0.5583333333333333, 4.395833333333333, False]",4,0,"[0.02, 0, 0.5583333333333333, 4.395833333333333, False]"
"[0.02, 0, 0.5583333333333333, 4.395833333333333, False]",3,0,"[0.02, 0, 0.7583333333333333, 4.895833333333333, False]"
"[0.02, 0, 0.7583333333333333, 4.895833333333333, False]",1,0,"[0.04, 0, 0.75, 4.875, False]"
"[0.04, 0, 0.75, 4.875, False]",1,0,"[0.04, 0, 0.7416666666666667, 4.854166666666667, False]"
"[0.04, 0, 0.7416666666666667, 4.854166666666667, False]",0,5,"[0.01, 0, 0.75, 4.875, False]"
"[0.01, 0, 0.75, 4.875, False]",2,0,"[0.1, 0, 0.55, 4.375, False]"
"[0.1, 0, 0.55, 4.375, False]",1,0,"[0.05, 0, 0.5416666666666667, 4.354166666666667, False]"
"[0.05, 0, 0.5416666666666667, 4.354166666666667, False]",3,0,"[0.05, 0, 0.7416666666666667, 4.854166666666667, False]"
"[0.05, 0, 0.7416666666666667, 4.854166666666667, False]",4,0,"[0.05, 1, 0.7416666666666667, 4.854166666666667, False]"
"[0.05, 1, 0.7416666666666667, 4.854166666666667, False]",0,0,"[0.01, 1, 0.7416666666666667, 4.875, False]"
"[0.01, 1, 0.7416666666666667, 4.875, False]",1,0,"[0.01, 1, 0.7416666666666667, 4.854166666666667, False]"
"[0.01, 1, 0.7416666666666667, 4.854166666666667, False]",1,0,"[0.01, 1, 0.7416666666666667, 4.833333333333334, False]"
"[0.01, 1, 0.7416666666666667, 4.833333333333334, False]",3,0,"[0.02, 1, 0.7416666666666667, 5.333333333333334, False]"
"[0.02, 1, 0.7416666666666667, 5.333333333333334, False]",0,0,"[0.02, 1, 0.7416666666666667, 5.354166666666667, False]"
"[0.02, 1, 0.7416666666666667, 5.354166666666667, False]",1,0,"[0.01, 1, 0.7416666666666667, 5.333333333333334, False]"
"[0.01, 1, 0.7416666666666667, 5.333333333333334, False]",3,0,"[0.02, 1, 0.7416666666666667, 5.833333333333334, False]"
"[0.02, 1, 0.7416666666666667, 5.833333333333334, False]",1,0,"[0.01, 1, 0.7416666666666667, 5.812500000000001, False]"
