S1,action,reward,S2
"[0.03, 0, 0, 0, False]",3,0.0,"[0.08, 0, 0.2, 0.5, False]"
"[0.08, 0, 0.2, 0.5, False]",4,0.0,"[0.08, 1, 0.2, 0.5, False]"
"[0.08, 1, 0.2, 0.5, False]",3,0.0,"[0.03, 1, 0.2, 1.0, False]"
"[0.03, 1, 0.2, 1.0, False]",3,0.0,"[0.03, 1, 0.2, 1.5, False]"
"[0.03, 1, 0.2, 1.5, False]",3,0.0,"[0.03, 1, 0.2, 2.0, False]"
"[0.03, 1, 0.2, 2.0, False]",0,0.0,"[0.03, 1, 0.2, 2.0208333333333335, False]"
"[0.03, 1, 0.2, 2.0208333333333335, False]",3,0.0,"[0.03, 1, 0.2, 2.5208333333333335, False]"
"[0.03, 1, 0.2, 2.5208333333333335, False]",0,0.0,"[0.03, 1, 0.2, 2.541666666666667, False]"
"[0.03, 1, 0.2, 2.541666666666667, False]",2,0.2,"[0.02, 1, 0.2, 2.041666666666667, False]"
"[0.02, 1, 0.2, 2.041666666666667, False]",3,0.0,"[0.03, 1, 0.2, 2.541666666666667, False]"
"[0.03, 1, 0.2, 2.541666666666667, False]",1,0.0,"[0.01, 1, 0.2, 2.5208333333333335, False]"
"[0.01, 1, 0.2, 2.5208333333333335, False]",3,0.0,"[0.03, 1, 0.2, 3.0208333333333335, False]"
"[0.03, 1, 0.2, 3.0208333333333335, False]",2,0.2,"[0.03, 1, 0.2, 2.5208333333333335, False]"
"[0.03, 1, 0.2, 2.5208333333333335, False]",1,0.0,"[0.03, 1, 0.2, 2.5, False]"
"[0.03, 1, 0.2, 2.5, False]",0,0.0,"[0.02, 1, 0.2, 2.5208333333333335, False]"
"[0.02, 1, 0.2, 2.5208333333333335, False]",0,0.0,"[0.02, 1, 0.2, 2.541666666666667, False]"
"[0.02, 1, 0.2, 2.541666666666667, False]",4,0.0,"[0.02, 0, 0.2, 2.541666666666667, False]"
"[0.02, 0, 0.2, 2.541666666666667, False]",4,0.0,"[0.02, 1, 0.2, 2.541666666666667, False]"
"[0.02, 1, 0.2, 2.541666666666667, False]",1,0.0,"[0.02, 1, 0.2, 2.5208333333333335, False]"
"[0.02, 1, 0.2, 2.5208333333333335, False]",4,0.0,"[0.02, 0, 0.2, 2.5208333333333335, False]"
"[0.02, 0, 0.2, 2.5208333333333335, False]",4,0.0,"[0.02, 1, 0.2, 2.5208333333333335, False]"
"[0.02, 1, 0.2, 2.5208333333333335, False]",0,0.0,"[0.02, 1, 0.2, 2.541666666666667, False]"
"[0.02, 1, 0.2, 2.541666666666667, False]",0,0.0,"[0.02, 1, 0.2, 2.5625000000000004, False]"
"[0.02, 1, 0.2, 2.5625000000000004, False]",2,0.2,"[0.04, 1, 0.2, 2.0625000000000004, False]"
"[0.04, 1, 0.2, 2.0625000000000004, False]",2,0.2,"[0.04, 1, 0.2, 1.5625000000000004, False]"
"[0.04, 1, 0.2, 1.5625000000000004, False]",3,0.0,"[0.01, 1, 0.2, 2.0625000000000004, False]"
"[0.01, 1, 0.2, 2.0625000000000004, False]",2,0.2,"[0.04, 1, 0.2, 1.5625000000000004, False]"
"[0.04, 1, 0.2, 1.5625000000000004, False]",0,0.0,"[0.04, 1, 0.2, 1.5833333333333337, False]"
"[0.04, 1, 0.2, 1.5833333333333337, False]",0,0.0,"[0.03, 1, 0.2, 1.604166666666667, False]"
"[0.03, 1, 0.2, 1.604166666666667, False]",3,0.0,"[0.01, 1, 0.2, 2.104166666666667, False]"
"[0.01, 1, 0.2, 2.104166666666667, False]",2,0.2,"[0.04, 1, 0.2, 1.604166666666667, False]"
"[0.04, 1, 0.2, 1.604166666666667, False]",2,0.2,"[0.04, 1, 0.2, 1.104166666666667, False]"
"[0.04, 1, 0.2, 1.104166666666667, False]",1,0.0,"[0.04, 1, 0.2, 1.0833333333333337, False]"
"[0.04, 1, 0.2, 1.0833333333333337, False]",1,0.0,"[0.04, 1, 0.2, 1.0625000000000004, False]"
"[0.04, 1, 0.2, 1.0625000000000004, False]",4,0.0,"[0.04, 0, 0.2, 1.0625000000000004, False]"
"[0.04, 0, 0.2, 1.0625000000000004, False]",3,0.0,"[0.0, 0, 0.4, 1.5625000000000004, False]"
"[0.0, 0, 0.4, 1.5625000000000004, False]",0,0.96,"[0.02, 0, 0.4083333333333334, 1.5833333333333337, False]"
"[0.02, 0, 0.4083333333333334, 1.5833333333333337, False]",1,0.0,"[0.01, 0, 0.4, 1.5625000000000004, False]"
"[0.01, 0, 0.4, 1.5625000000000004, False]",1,0.0,"[0.01, 0, 0.39166666666666666, 1.5416666666666672, False]"
"[0.01, 0, 0.39166666666666666, 1.5416666666666672, False]",3,0.0,"[0.04, 0, 0.5916666666666667, 2.041666666666667, False]"
