S1,action,reward,S2
"[0.05, 0, -0.20000000000000004, 3.145833333333335, False]",1,0.0,"[0.18, 0, -0.20833333333333337, 3.1250000000000013, False]"
"[0.18, 0, -0.20833333333333337, 3.1250000000000013, False]",0,0.98,"[0.01, 0, -0.20000000000000004, 3.145833333333335, False]"
"[0.01, 0, -0.20000000000000004, 3.145833333333335, False]",3,0.0,"[0.02, 1, -0.20000000000000004, 3.645833333333335, False]"
"[0.1, 0, -0.20000000000000004, 3.645833333333335, False]",2,0.0,"[0.1, 0, -0.4, 3.145833333333335, False]"
"[0.1, 0, -0.4, 3.145833333333335, False]",0,0.9,"[0.05, 0, -0.39166666666666666, 3.1666666666666683, False]"
"[0.05, 0, -0.39166666666666666, 3.1666666666666683, False]",3,0.0,"[0.05, 0, -0.19166666666666665, 3.6666666666666683, False]"
"[0.05, 0, -0.19166666666666665, 3.6666666666666683, False]",4,0.0,"[0.05, 1, -0.19166666666666665, 3.6666666666666683, False]"
"[0.05, 1, -0.19166666666666665, 3.6666666666666683, False]",2,0.2,"[0.05, 1, -0.19166666666666665, 3.1666666666666683, False]"
"[0.05, 1, -0.19166666666666665, 3.1666666666666683, False]",0,0.0,"[0.04, 1, -0.19166666666666665, 3.1875000000000018, False]"
"[0.04, 1, -0.19166666666666665, 3.1875000000000018, False]",4,0.0,"[0.04, 0, -0.19166666666666665, 3.1875000000000018, False]"
"[0.04, 0, -0.19166666666666665, 3.1875000000000018, False]",2,0.0,"[0.27, 0, -0.39166666666666666, 2.6875000000000018, False]"
"[0.27, 0, -0.39166666666666666, 2.6875000000000018, False]",4,0.0,"[0.27, 1, -0.39166666666666666, 2.6875000000000018, False]"
"[0.27, 1, -0.39166666666666666, 2.6875000000000018, False]",2,0.2,"[0.27, 1, -0.39166666666666666, 2.1875000000000018, False]"
"[0.27, 1, -0.39166666666666666, 2.1875000000000018, False]",1,0.0,"[0.27, 1, -0.39166666666666666, 2.1666666666666683, False]"
