epoch,step,Tz,gripper,tot_angle,rel_angle,CT_detected
0,1,0.05,0,0,0,False
0,2,0.05,0,-0.2,-0.5,False
0,3,0.05,0,-0.4,-1.0,False
0,4,0.05,1,-0.4,-1.0,False
0,5,0.03,1,-0.4,-0.9791666666666666,False
0,6,0.03,0,-0.4,-0.9791666666666666,False
0,7,0.05,0,-0.6000000000000001,-1.4791666666666665,False
0,8,0.03,0,-0.5916666666666668,-1.4583333333333333,False
0,9,0.04,0,-0.7916666666666667,-1.9583333333333333,False
0,10,0.03,0,-0.7833333333333334,-1.9375,False
0,11,0.05,0,-0.7916666666666667,-1.9583333333333333,False
0,12,0.05,1,-0.7916666666666667,-1.9583333333333333,False
0,13,0.03,1,-0.7916666666666667,-1.9375,False
0,14,0.05,1,-0.7916666666666667,-2.4375,False
0,15,0.01,1,-0.7916666666666667,-1.9375,False
0,16,0.01,1,-0.7916666666666667,-1.9583333333333333,False
0,17,0.05,1,-0.7916666666666667,-2.458333333333333,False
0,18,0.03,1,-0.7916666666666667,-2.4374999999999996,False
0,19,0.05,1,-0.7916666666666667,-2.9374999999999996,False
0,20,0.05,0,-0.7916666666666667,-2.9374999999999996,False
0,1,0.07,0,0,0,False
0,2,0.02,0,0.2,0.5,False
0,3,0.02,0,0.19166666666666668,0.4791666666666667,False
0,4,0.02,1,0.19166666666666668,0.4791666666666667,False
0,5,0.09,1,0.19166666666666668,0.9791666666666667,False
0,6,0.12,1,0.19166666666666668,1.4791666666666667,False
0,7,0.12,1,0.19166666666666668,1.5,False
0,8,0.12,1,0.19166666666666668,1.5208333333333333,False
0,9,0.12,0,0.19166666666666668,1.5208333333333333,False
0,10,0.12,1,0.19166666666666668,1.5208333333333333,False
0,11,0.12,1,0.19166666666666668,1.5416666666666665,False
0,12,0.12,1,0.19166666666666668,2.0416666666666665,False
0,13,0.12,1,0.19166666666666668,2.0625,False
0,14,0.12,1,0.19166666666666668,2.0833333333333335,False
0,15,0.12,1,0.19166666666666668,2.104166666666667,False
0,16,0.12,0,0.19166666666666668,2.104166666666667,False
0,17,0.12,0,0.2,2.1250000000000004,False
0,18,0.12,1,0.2,2.1250000000000004,False
0,19,0.12,1,0.2,2.6250000000000004,False
0,20,0.12,1,0.2,3.1250000000000004,False
0,21,0.12,0,0.2,3.1250000000000004,False
0,22,0.12,0,0.20833333333333334,3.145833333333334,False
0,23,0.12,1,0.20833333333333334,3.145833333333334,False
0,24,0.12,0,0.20833333333333334,3.145833333333334,False
0,25,0.0,0,0.2,3.1250000000000004,False
0,26,0.09,0,0.20833333333333334,3.145833333333334,False
0,27,0.13,0,0.008333333333333331,2.645833333333334,False
0,28,0.09,0,0.20833333333333334,3.145833333333334,False
0,29,0.09,1,0.20833333333333334,3.145833333333334,False
0,30,0.09,1,0.20833333333333334,3.645833333333334,False
0,31,0.09,1,0.20833333333333334,4.145833333333334,False
0,32,0.09,1,0.20833333333333334,4.166666666666667,False
0,33,0.03,1,0.20833333333333334,4.145833333333334,False
