epoch,average_reward,average_q_value
0,-0.2704,0.031430491081932015
1,-0.0392,0.045188784077763555
2,-0.009200000000000003,0.0495549026876688
3,-0.0816,0.025697955614887177
4,-0.046400000000000004,-0.007411993038840592
5,0.06199999999999999,-0.009343713783297916
6,-0.2836,0.003829617506125942
7,-0.38280000000000003,0.013929820915218443
8,-0.3044,0.018713675180915743
9,-0.38280000000000003,0.026006082671228795
10,-0.44,0.029661526354029775
11,-0.2692,0.030462951036170124
12,-0.322,0.03316034970805049
13,-0.4004,0.03535972610116005
14,-0.0020000000000000018,0.036065080501139164
15,-0.3408,0.032448077239096165
16,-0.162,0.0273773809755221
17,-0.7,0.023915838357061146
18,-0.2616,0.019339604380074888
19,0.0,0.015125287706032395
20,-0.84,0.00680190684273839
21,-0.94,-0.0008118001218826976
22,-0.98,-0.011438649743358837
23,-0.96,-0.03031582594383508
24,-0.98,-0.039730847803875806
25,-0.9,-0.05342520447447896
26,-0.58,-0.0711042596399784
27,0.038,-0.06680512498608049
28,-0.54,-0.06312874024733901
29,-0.7,-0.051188029546756296
30,0.0,-0.052035274035297334
31,-0.5,-0.05222685709246434
32,0.0192,-0.05437907468527556
33,-0.64,-0.05672036504838616
34,-1.0,-0.06082741618156433
35,-0.28,-0.06802867002785205
36,0.0196,-0.07999033562839031
37,0.0196,-0.09377035334706306
38,0.0,-0.10149614743888379
39,0.0,-0.11952017366886139
40,-0.9,-0.12558054596185683
41,-1.0,-0.15174458265304566
42,-0.92,-0.15814491406083106
43,-1.0,-0.16912147924304008
44,-1.0,-0.18750109523534775
45,-0.98,-0.20515274077653886
46,-1.0,-0.2140441969037056
47,-0.42,-0.2241348907351494
48,0.018000000000000002,-0.23862416446208953
49,-0.2,-0.2690611785650253
50,-1.0,-0.28436304956674574
51,-0.98,-0.2913325399160385
52,-0.44,-0.30964738249778745
53,-0.76,-0.33974535822868346
54,-1.0,-0.3415647661685944
55,-0.98,-0.3694581201672554
56,-1.0,-0.3884127444028854
57,-1.0,-0.401214434504509
58,-0.98,-0.4287853872776031
59,-0.96,-0.4530409777164459
60,-0.98,-0.4567702603340149
61,-0.22,-0.48413768112659455
62,0.0192,-0.5155382698774338
63,0.0,-0.5371768563985825
64,0.038,-0.5299565422534943
65,0.0372,-0.5716762804985046
66,0.0,-0.5871936917304993
67,-0.06,-0.6242187076807022
68,-0.96,-0.6176375353336334
69,-0.3024,-0.6464969021081924
70,-0.1204,-0.6835253757238388
71,-0.94,-0.6940771263837814
72,-0.2,-0.7362076449394226
73,-0.7020000000000001,-0.7284321469068528
74,-0.74,-0.7384774023294449
75,0.0,-0.7604631441831589
76,0.0,-0.766293100118637
77,-0.2616,-0.8463041615486145
78,-1.0,-0.8160351097583771
79,-0.98,-0.9001589238643646
80,-0.44,-0.8704705321788788
81,-0.96,-0.8649400007724762
82,-0.96,-0.911072336435318
83,-0.54,-0.9280758428573609
84,0.0,-0.9282780277729035
85,-0.94,-1.0094879257678986
86,-1.0,-0.9595598113536835
87,-0.682,-1.0017341542243958
88,-0.06,-1.041090053319931
89,-0.48,-1.02621107339859
90,-0.94,-1.0759112632274628
91,-0.94,-1.124915680885315
92,-0.96,-1.109832454919815
93,-0.96,-1.1393586194515228
94,-0.4864,-1.1622610628604888
95,-0.26,-1.1756015622615814
96,-0.94,-1.2026209604740143
97,-0.18,-1.1960694301128387
98,0.0,-1.2003127360343933
99,0.0,-1.2886945915222168
100,0.0,-1.3026752662658692
101,0.0,-1.318859759569168
102,-0.34,-1.3075044929981232
103,-0.3,-1.3269688034057616
104,0.0372,-1.3555946004390718
105,0.0196,-1.344398056268692
106,0.0,-1.394451459646225
107,0.0,-1.4198263311386108
108,-0.3,-1.466268595457077
109,-0.402,-1.4567638754844665
110,-0.0604,-1.512096712589264
111,-1.0,-1.5192156374454497
112,-0.98,-1.570594561100006
113,-1.0,-1.571881651878357
114,-0.98,-1.4982938051223755
115,-1.0,-1.5678430104255676
116,-1.0,-1.6400562405586243
117,-1.0,-1.626558824777603
118,-0.94,-1.6384986662864685
119,-0.56,-1.7508111953735352
120,-0.72,-1.7370396828651429
121,0.0172,-1.7520074844360352
122,0.0,-1.751898239850998
123,-0.7,-1.7853701138496398
124,-0.36,-1.8172404193878173
125,-1.0,-1.7886023068428039
126,-0.94,-1.8874500894546509
127,-0.96,-1.8872683501243592
128,-0.7212000000000001,-1.8891689157485962
129,-0.12,-1.932189049720764
130,-0.54,-1.8693753266334534
131,0.0,-1.967838292121887
132,-0.02,-1.9823169589042664
133,0.0,-2.0092003989219664
134,-0.44,-1.968213517665863
135,-0.5,-2.116514940261841
136,-0.66,-1.896515474027517
137,-0.56,-1.909034903049469
138,-0.66,-1.8880334448814393
139,0.0,-1.9627295660972595
140,-0.18,-1.8494720101356505
141,-1.0,-1.7429149746894836
142,-0.08,-1.789945161342621
143,0.0,-1.8068259048461914
144,-0.44,-1.8846314859390259
145,-0.98,-1.8214816975593566
146,-0.94,-1.827339735031128
147,0.0184,-1.837163655757904
148,-0.5,-1.70470463514328
149,-0.82,-1.7118934774398804
150,-0.402,-1.708206717967987
151,-0.98,-1.6380580711364745
152,-0.34,-1.7319988131523132
153,0.0,-1.7488404750823974
154,-0.5612,-1.7602644491195678
155,-0.8,-1.723724639415741
156,-0.86,-1.6487621212005614
157,0.0,-1.7245396947860718
158,0.0192,-1.7067623543739319
159,-0.34,-1.6717735815048218
160,-0.98,-1.7490940046310426
161,-0.96,-1.6590905499458313
162,-0.96,-1.7095943129062652
163,-0.34,-1.6249344730377198
164,0.018799999999999997,-1.7118528723716735
165,-0.76,-1.6468811810016633
166,-0.26,-1.5983205604553223
167,0.0196,-1.7213396430015564
168,-0.7,-1.6369917941093446
169,-0.02,-1.6020540475845337
170,-0.40120000000000006,-1.6371100485324859
171,-0.98,-1.7124844598770141
172,-0.96,-1.7099315595626832
173,-1.0,-1.636783366203308
174,-0.96,-1.7031830501556398
175,-0.94,-1.6660899996757508
176,-0.74,-1.6732831597328186
177,-0.48,-1.6938400185108184
178,-0.1,-1.7269206523895264
179,-0.7,-1.6493220472335814
180,-0.94,-1.6427793645858764
181,-0.1,-1.6353100319297946
182,-0.46159999999999995,-1.5988419699668883
183,0.0,-1.604876914024353
184,-0.22,-1.6457716989517213
185,-0.8,-1.5729518806934357
186,-0.98,-1.6437590074539186
187,-0.96,-1.5645661199092864
188,-0.96,-1.5607104897499084
189,-0.32,-1.5672411167621612
190,0.0,-1.5734122490882874
191,-0.76,-1.5318599104881288
192,-0.02,-1.5664135313034058
193,-0.82,-1.5539120316505433
194,-0.88,-1.5154425573349
195,-1.0,-1.5513329684734345
196,-0.98,-1.5659496545791627
197,-1.0,-1.5588431406021117
