S1,action,reward,S2
"[0.05, 1, -0.008333333333333443, -1.2291666666666667, False]",3,0.0,"[0.05, 1, -0.008333333333333443, -0.7291666666666667, False]"
"[0.05, 1, -0.008333333333333443, -0.7291666666666667, False]",3,0.0,"[0.05, 1, -0.008333333333333443, -0.22916666666666674, False]"
"[0.05, 1, -0.008333333333333443, -0.22916666666666674, False]",4,-1.0,"[0.05, 0, -0.008333333333333443, -0.22916666666666674, False]"
"[0.05, 0, -0.008333333333333443, -0.22916666666666674, False]",1,0.0,"[0.07, 0, -0.016666666666666774, -0.25000000000000006, False]"
"[0.07, 0, -0.016666666666666774, -0.25000000000000006, False]",1,0.0,"[0.07, 0, -0.025000000000000105, -0.27083333333333337, False]"
"[0.07, 0, -0.025000000000000105, -0.27083333333333337, False]",2,0.0,"[0.41, 0, -0.22500000000000012, -0.7708333333333334, False]"
"[0.41, 0, -0.22500000000000012, -0.7708333333333334, False]",1,0.0,"[0.11, 0, -0.23333333333333345, -0.7916666666666667, False]"
"[0.11, 0, -0.23333333333333345, -0.7916666666666667, False]",2,0.0,"[0.53, 0, -0.43333333333333346, -1.2916666666666667, False]"
"[0.53, 0, -0.43333333333333346, -1.2916666666666667, False]",1,0.0,"[0.53, 0, -0.4416666666666668, -1.3125, False]"
"[0.53, 0, -0.4416666666666668, -1.3125, False]",2,0.0,"[0.53, 0, -0.6416666666666668, -1.8125, False]"
"[0.53, 0, -0.6416666666666668, -1.8125, False]",0,0.8200000000000001,"[0.09, 0, -0.6333333333333335, -1.7916666666666667, False]"
"[0.09, 0, -0.6333333333333335, -1.7916666666666667, False]",0,0.96,"[0.02, 0, -0.6250000000000002, -1.7708333333333335, False]"
"[0.02, 0, -0.6250000000000002, -1.7708333333333335, False]",3,0.0,"[0.03, 0, -0.4250000000000002, -1.2708333333333335, False]"
"[0.03, 0, -0.4250000000000002, -1.2708333333333335, False]",0,0.88,"[0.06, 0, -0.41666666666666685, -1.2500000000000002, False]"
"[0.06, 0, -0.41666666666666685, -1.2500000000000002, False]",3,0.0,"[0.06, 0, -0.21666666666666684, -0.7500000000000002, False]"
"[0.06, 0, -0.21666666666666684, -0.7500000000000002, False]",3,0.0,"[0.06, 0, -0.01666666666666683, -0.2500000000000002, False]"
"[0.06, 0, -0.01666666666666683, -0.2500000000000002, False]",2,0.0,"[0.33, 0, -0.21666666666666684, -0.7500000000000002, False]"
"[0.33, 0, -0.21666666666666684, -0.7500000000000002, False]",3,0.0,"[0.09, 0, -0.01666666666666683, -0.2500000000000002, False]"
"[0.09, 0, -0.01666666666666683, -0.2500000000000002, False]",1,0.0,"[0.05, 0, -0.02500000000000016, -0.27083333333333354, False]"
"[0.05, 0, -0.02500000000000016, -0.27083333333333354, False]",1,0.0,"[0.08, 0, -0.03333333333333349, -0.29166666666666685, False]"
"[0.08, 0, -0.03333333333333349, -0.29166666666666685, False]",1,0.0,"[0.09, 0, -0.041666666666666824, -0.31250000000000017, False]"
"[0.09, 0, -0.041666666666666824, -0.31250000000000017, False]",1,0.0,"[0.07, 0, -0.050000000000000155, -0.3333333333333335, False]"
"[0.07, 0, -0.050000000000000155, -0.3333333333333335, False]",1,0.0,"[0.06, 0, -0.05833333333333349, -0.3541666666666668, False]"
"[0.06, 0, -0.05833333333333349, -0.3541666666666668, False]",1,0.0,"[0.03, 0, -0.06666666666666682, -0.3750000000000001, False]"
"[0.03, 0, -0.06666666666666682, -0.3750000000000001, False]",0,0.8200000000000001,"[0.09, 0, -0.05833333333333349, -0.3541666666666668, False]"
"[0.09, 0, -0.05833333333333349, -0.3541666666666668, False]",0,0.8,"[0.1, 0, -0.050000000000000155, -0.3333333333333335, False]"
"[0.1, 0, -0.050000000000000155, -0.3333333333333335, False]",1,0.0,"[0.09, 0, -0.05833333333333349, -0.3541666666666668, False]"
"[0.09, 0, -0.05833333333333349, -0.3541666666666668, False]",3,0.0,"[0.11, 0, 0.14166666666666652, 0.1458333333333332, False]"
"[0.11, 0, 0.14166666666666652, 0.1458333333333332, False]",3,0.0,"[0.11, 0, 0.34166666666666656, 0.6458333333333333, False]"
"[0.11, 0, 0.34166666666666656, 0.6458333333333333, False]",1,0.0,"[0.1, 0, 0.3333333333333332, 0.6249999999999999, False]"
"[0.1, 0, 0.3333333333333332, 0.6249999999999999, False]",0,0.76,"[0.12, 0, 0.34166666666666656, 0.6458333333333333, False]"
"[0.12, 0, 0.34166666666666656, 0.6458333333333333, False]",4,-1.0,"[0.12, 1, 0.34166666666666656, 0.6458333333333333, False]"
"[0.12, 1, 0.34166666666666656, 0.6458333333333333, False]",1,-1.0,"[0.02, 1, 0.34166666666666656, 0.6249999999999999, False]"
"[0.02, 1, 0.34166666666666656, 0.6249999999999999, False]",3,0.0,"[0.05, 1, 0.34166666666666656, 1.125, False]"
"[0.05, 1, 0.34166666666666656, 1.125, False]",1,-1.0,"[0.02, 1, 0.34166666666666656, 1.1041666666666667, False]"
"[0.02, 1, 0.34166666666666656, 1.1041666666666667, False]",0,-1.0,"[0.05, 1, 0.34166666666666656, 1.125, False]"
"[0.05, 1, 0.34166666666666656, 1.125, False]",0,-1.0,"[0.05, 1, 0.34166666666666656, 1.1458333333333333, False]"
