epoch,step,Tz,gripper,tot_angle,rel_angle,CT_detected
1,32,0.02,1,0.34166666666666656,0.6249999999999999,False
1,33,0.05,1,0.34166666666666656,1.125,False
1,34,0.02,1,0.34166666666666656,1.1041666666666667,False
1,35,0.05,1,0.34166666666666656,1.125,False
1,36,0.05,1,0.34166666666666656,1.1458333333333333,False
1,37,0.01,1,0.34166666666666656,0.6458333333333333,False
1,38,0.05,1,0.34166666666666656,1.1458333333333333,False
1,39,0.05,1,0.34166666666666656,1.6458333333333333,False
1,40,0.01,1,0.34166666666666656,1.1458333333333333,False
1,41,0.0,1,0.34166666666666656,1.1666666666666665,False
1,42,0.02,1,0.34166666666666656,0.6666666666666665,False
1,43,0.01,1,0.34166666666666656,1.1666666666666665,False
1,44,0.01,1,0.34166666666666656,1.1458333333333333,False
1,45,0.01,0,0.34166666666666656,1.1458333333333333,False
1,46,0.25,0,0.14166666666666655,0.6458333333333333,False
1,47,0.0,0,0.14999999999999988,0.6666666666666666,False
1,48,0.13,0,0.14166666666666655,0.6458333333333333,False
1,49,0.13,0,0.13333333333333322,0.6249999999999999,False
1,50,0.04,0,0.33333333333333326,1.125,False
2,1,0.07,0,0.3249999999999999,1.1041666666666667,False
2,2,0.08,0,0.31666666666666654,1.0833333333333335,False
2,3,0.09,0,0.3249999999999999,1.1041666666666667,False
2,4,0.09,0,0.31666666666666654,1.0833333333333335,False
2,5,0.09,1,0.31666666666666654,1.0833333333333335,False
2,6,0.01,1,0.31666666666666654,1.0625000000000002,False
2,7,0.0,1,0.31666666666666654,1.041666666666667,False
2,8,0.02,1,0.31666666666666654,0.541666666666667,False
2,9,0.02,1,0.31666666666666654,0.04166666666666696,False
2,10,0.01,1,0.31666666666666654,0.06250000000000029,False
2,11,0.01,1,0.31666666666666654,-0.4374999999999997,False
2,12,0.01,1,0.31666666666666654,-0.45833333333333304,False
2,13,0.01,0,0.31666666666666654,-0.45833333333333304,False
2,14,0.01,0,0.11666666666666653,-0.958333333333333,False
2,15,0.01,0,-0.08333333333333348,-1.458333333333333,False
2,16,0.01,0,-0.09166666666666681,-1.4791666666666663,False
2,17,0.01,0,-0.29166666666666685,-1.9791666666666663,False
2,18,0.01,0,-0.3000000000000002,-1.9999999999999996,False
2,19,0.01,0,-0.30833333333333357,-2.020833333333333,False
2,20,0.01,0,-0.31666666666666693,-2.0416666666666665,False
2,21,0.01,0,-0.5166666666666669,-2.5416666666666665,False
2,22,0.01,0,-0.5250000000000002,-2.5625,False
2,23,0.01,0,-0.5333333333333335,-2.5833333333333335,False
2,24,0.01,0,-0.5416666666666669,-2.604166666666667,False
2,25,0.01,0,-0.5500000000000002,-2.6250000000000004,False
2,26,0.1,0,-0.5416666666666669,-2.604166666666667,False
2,27,0.02,0,-0.5333333333333335,-2.5833333333333335,False
2,28,0.01,0,-0.5250000000000002,-2.5625,False
2,29,0.01,1,-0.5250000000000002,-2.5625,False
2,30,0.01,1,-0.5250000000000002,-2.5833333333333335,False
2,31,0.02,1,-0.5250000000000002,-3.0833333333333335,False
2,32,0.02,1,-0.5250000000000002,-3.104166666666667,False
2,33,0.02,1,-0.5250000000000002,-3.1250000000000004,False
2,34,0.02,1,-0.5250000000000002,-2.6250000000000004,False
2,35,0.02,0,-0.5250000000000002,-2.6250000000000004,False
2,36,0.02,0,-0.32500000000000023,-2.1250000000000004,False
2,37,0.06,0,-0.3333333333333336,-2.145833333333334,False
2,38,0.06,1,-0.3333333333333336,-2.145833333333334,False
2,39,0.02,1,-0.3333333333333336,-2.645833333333334,False
2,40,0.03,1,-0.3333333333333336,-3.145833333333334,False
2,41,0.0,1,-0.3333333333333336,-2.645833333333334,False
2,42,0.0,0,-0.3333333333333336,-2.645833333333334,False
2,43,0.27,0,-0.34166666666666695,-2.6666666666666674,False
2,44,0.05,0,-0.14166666666666694,-2.1666666666666674,False
2,45,0.1,0,-0.1333333333333336,-2.145833333333334,False
2,46,0.03,0,-0.14166666666666694,-2.1666666666666674,False
2,47,0.29,0,-0.34166666666666695,-2.6666666666666674,False
2,48,0.4,0,-0.541666666666667,-3.1666666666666674,False
2,49,0.4,0,-0.7416666666666669,-3.6666666666666674,False
2,50,0.4,0,-0.7500000000000002,-3.687500000000001,False
3,1,0.4,1,-0.7500000000000002,-3.687500000000001,False
3,2,0.01,1,-0.7500000000000002,-3.6666666666666674,False
3,3,0.01,1,-0.7500000000000002,-3.645833333333334,False
3,4,0.01,0,-0.7500000000000002,-3.645833333333334,False
3,5,0.01,0,-0.7416666666666669,-3.6250000000000004,False
3,6,0.03,0,-0.9416666666666669,-4.125,False
3,7,0.03,1,-0.9416666666666669,-4.125,False
3,8,0.03,1,-0.9416666666666669,-4.145833333333333,False
3,9,0.03,0,-0.9416666666666669,-4.145833333333333,False
3,10,0.03,0,-0.9500000000000002,-4.166666666666666,False
3,11,0.03,0,-0.9583333333333335,-4.187499999999999,False
3,12,0.03,0,-0.9666666666666668,-4.208333333333332,False
3,13,0.01,0,-0.9583333333333335,-4.187499999999999,False
3,14,0.0,0,-0.9500000000000002,-4.166666666666666,False
3,15,0.07,0,-1.1500000000000001,-4.666666666666666,False
3,16,0.11,0,-0.9500000000000002,-4.166666666666666,False
3,17,0.11,1,-0.9500000000000002,-4.166666666666666,False
3,18,0.01,1,-0.9500000000000002,-4.187499999999999,False
3,19,0.01,1,-0.9500000000000002,-4.166666666666666,False
3,20,0.01,0,-0.9500000000000002,-4.166666666666666,False
3,21,0.03,0,-0.9583333333333335,-4.187499999999999,False
3,22,0.02,0,-0.9500000000000002,-4.166666666666666,False
3,23,0.04,0,-0.9583333333333335,-4.187499999999999,False
3,24,0.04,1,-0.9583333333333335,-4.187499999999999,False
3,25,0.04,0,-0.9583333333333335,-4.187499999999999,False
3,26,0.42,0,-1.1583333333333334,-4.687499999999999,False
3,27,0.42,0,-1.1666666666666667,-4.708333333333332,False
3,28,0.42,0,-1.3666666666666667,-5.208333333333332,False
3,29,0.42,1,-1.3666666666666667,-5.208333333333332,False
3,30,0.01,1,-1.3666666666666667,-4.708333333333332,False
3,31,0.02,1,-1.3666666666666667,-5.208333333333332,False
3,32,0.02,1,-1.3666666666666667,-4.708333333333332,False
3,33,0.02,1,-1.3666666666666667,-5.208333333333332,False
3,34,0.01,1,-1.3666666666666667,-5.187499999999999,False
3,35,0.01,0,-1.3666666666666667,-5.187499999999999,False
3,36,0.08,0,-1.5666666666666667,-5.687499999999999,False
3,37,0.08,0,-1.575,-5.708333333333332,False
3,38,0.08,0,-1.5833333333333333,-5.729166666666665,False
3,39,0.08,0,-1.5916666666666666,-5.749999999999998,False
3,40,0.08,1,-1.5916666666666666,-5.749999999999998,False
3,41,0.02,1,-1.5916666666666666,-5.729166666666665,False
3,42,0.02,1,-1.5916666666666666,-5.749999999999998,False
3,43,0.01,1,-1.5916666666666666,-5.249999999999998,False
3,44,0.02,1,-1.5916666666666666,-5.749999999999998,False
3,45,0.02,1,-1.5916666666666666,-5.770833333333331,False
3,46,0.02,1,-1.5916666666666666,-5.791666666666664,False
3,47,0.01,1,-1.5916666666666666,-5.291666666666664,False
3,48,0.01,1,-1.5916666666666666,-5.312499999999997,False
3,49,0.01,1,-1.5916666666666666,-5.291666666666664,False
3,50,0.02,1,-1.5916666666666666,-5.270833333333331,False
4,1,0.05,1,-1.5916666666666666,-4.770833333333331,False
4,2,0.0,1,-1.5916666666666666,-5.270833333333331,False
4,3,0.02,1,-1.5916666666666666,-5.770833333333331,False
4,4,0.02,1,-1.5916666666666666,-6.270833333333331,False
4,5,0.02,1,-1.5916666666666666,-6.249999999999998,False
4,6,0.02,0,-1.5916666666666666,-6.249999999999998,False
4,7,0.05,0,-1.5999999999999999,-6.270833333333331,False
4,8,0.06,0,-1.5916666666666666,-6.249999999999998,False
4,9,0.04,0,-1.5833333333333333,-6.229166666666665,False
