S1,action,reward,S2
"[0.01, 0, 0.4791666666666667, 0.6083333333333333, False]",2,-1.0,"[0.4, 0, -0.4, 0, False]"
"[0.4, 0, 0.9791666666666666, 0.4083333333333333, False]",1,0.0,"[0.05, 0, -0.4083333333333334, 0.4, False]"
"[0.05, 0, 1.0, 0.4, False]",0,0.94,"[0.03, 0, -0.4, 0.4083333333333333, False]"
"[0.03, 0, 0.9791666666666666, 0.4083333333333333, False]",0,0.94,"[0.03, 0, -0.39166666666666666, 0.4166666666666667, False]"
"[0.03, 0, 0.9583333333333334, 0.4166666666666667, False]",3,-1.0,"[0.05, 0, -0.19166666666666665, 0, False]"
"[0.05, 0, 0.4583333333333333, 0.6166666666666667, False]",0,0.96,"[0.02, 0, -0.18333333333333332, 0.625, False]"
"[0.02, 0, 0.4375, 0.625, False]",4,-1.0,"[0.02, 1, -0.18333333333333332, 0.625, False]"
"[0.02, 1, 0.4375, 0.625, False]",1,-1.0,"[0.04, 1, -0.18333333333333332, 0.625, False]"
"[0.04, 1, 0.4583333333333333, 0.625, False]",1,-1.0,"[0.04, 1, -0.18333333333333332, 0.625, False]"
"[0.04, 1, 0.4791666666666667, 0.625, False]",0,-1.0,"[0.04, 1, -0.18333333333333332, 0.625, False]"
"[0.04, 1, 0.4583333333333333, 0.625, False]",2,-1.0,"[0.08, 1, -0.18333333333333332, 0, False]"
"[0.08, 1, 0.9583333333333334, 0.625, False]",1,-1.0,"[0.08, 1, -0.18333333333333332, 0.625, False]"
"[0.08, 1, 0.9791666666666666, 0.625, False]",2,-1.0,"[0.08, 1, -0.18333333333333332, 0, False]"
"[0.08, 1, 1.0, 0.625, False]",1,-1.0,"[0.08, 1, -0.18333333333333332, 0.625, False]"
"[0.08, 1, 1.0, 0.625, False]",1,-1.0,"[0.08, 1, -0.18333333333333332, 0.625, False]"
"[0.08, 1, 1.0, 0.625, False]",3,-1.0,"[0.03, 1, -0.18333333333333332, 0, False]"
"[0.03, 1, 0.5, 0.625, False]",3,-1.0,"[0.04, 1, -0.18333333333333332, 0, False]"
"[0.04, 1, 0.0, 0.625, False]",2,-1.0,"[0.06, 1, -0.18333333333333332, 0, False]"
"[0.06, 1, 0.5, 0.625, False]",4,-1.0,"[0.06, 0, -0.18333333333333332, 0.625, False]"
"[0.06, 0, 0.5, 0.625, False]",3,-1.0,"[0.02, 0, 0.01666666666666669, 0, False]"
"[0.02, 0, 0.0, 0.825, False]",1,0.0,"[0.02, 0, 0.008333333333333358, 0.8166666666666667, False]"
"[0.02, 0, 0.020833333333333332, 0.8166666666666667, False]",2,-1.0,"[0.24, 0, -0.19166666666666665, 0, False]"
"[0.24, 0, 0.5208333333333334, 0.6166666666666667, False]",0,0.96,"[0.02, 0, -0.18333333333333332, 0.625, False]"
"[0.02, 0, 0.5, 0.625, False]",2,-1.0,"[0.48, 0, -0.3833333333333333, 0, False]"
"[0.48, 0, 1.0, 0.425, False]",2,-1.0,"[0.48, 0, -0.5833333333333333, 0, False]"
