epoch,step,Tz,gripper,tot_angle,rel_angle,CT_detected
27,1,0.06,1,0,0.0,False
27,2,0.01,1,0,0,False
27,3,0.05,1,0,0,False
27,4,0.05,1,0,0.0,False
27,5,0.05,1,0,0.0,False
27,6,0.05,1,0,0.0,False
27,7,0.05,1,0,0.0,False
27,8,0.05,1,0,0.0,False
27,9,0.05,1,0,0.0,False
27,10,0.05,1,0,0.0,False
27,11,0.05,1,0,0.0,False
27,12,0.05,1,0,0.0,False
27,13,0.05,1,0,0.0,False
27,14,0.05,1,0,0.0,False
27,15,0.05,1,0,0.0,False
27,16,0.05,1,0,0.0,False
27,17,0.05,1,0,0.0,False
27,18,0.05,1,0,0.0,False
27,19,0.05,1,0,0.0,False
27,20,0.05,1,0,0.0,False
27,21,0.05,1,0,0.0,False
27,22,0.05,1,0,0.0,False
27,23,0.05,1,0,0.0,False
27,24,0.05,1,0,0.0,False
27,25,0.05,1,0,0.0,False
27,26,0.05,1,0,0.0,False
27,27,0.05,1,0,0.0,False
27,28,0.05,1,0,0.0,False
27,29,0.05,1,0,0.0,False
27,30,0.05,1,0,0.0,False
27,31,0.05,1,0,0.0,False
27,32,0.05,1,0,0.0,False
27,33,0.05,1,0,0.0,False
27,34,0.05,1,0,0.0,False
27,35,0.05,1,0,0.0,False
27,36,0.05,1,0,0.0,False
27,37,0.05,1,0,0.0,False
27,38,0.05,1,0,0.0,False
27,39,0.05,1,0,0.0,False
27,40,0.05,1,0,0.0,False
27,41,0.05,1,0,0.0,False
27,42,0.05,1,0,0.0,False
27,43,0.05,1,0,0.0,False
27,44,0.05,1,0,0.0,False
27,45,0.03,1,0,0,False
27,46,0.05,1,0,0,False
27,47,0.05,1,0,0.0,False
27,48,0.05,1,0,0.0,False
27,49,0.05,1,0,0.0,False
27,50,0.05,1,0,0,False
28,1,0.06,0,0.008333333333333333,0.008333333333333333,False
28,2,0.06,0,0.016666666666666666,0.016666666666666666,False
28,3,0.04,0,0.025,0.025,False
28,4,0.03,0,-0.17500000000000002,0,False
28,5,0.04,0,-0.16666666666666669,0.008333333333333333,False
28,6,0.05,0,-0.15833333333333335,0.016666666666666666,False
28,7,0.04,0,-0.15000000000000002,0.025,False
28,8,0.03,0,-0.1416666666666667,0.03333333333333333,False
28,9,0.05,0,-0.13333333333333336,0.041666666666666664,False
28,10,0.03,0,-0.12500000000000003,0.05,False
28,11,0.04,0,-0.1166666666666667,0.058333333333333334,False
28,12,0.05,0,-0.10833333333333336,0.06666666666666667,False
28,13,0.01,0,-0.1166666666666667,0.058333333333333334,False
28,14,0.04,0,-0.10833333333333336,0.06666666666666667,False
28,15,0.02,0,-0.10000000000000003,0.075,False
28,16,0.06,0,-0.0916666666666667,0.08333333333333333,False
28,17,0.03,0,-0.08333333333333337,0.09166666666666666,False
28,18,0.0,0,-0.07500000000000004,0.1,False
28,19,0.03,0,-0.06666666666666671,0.10833333333333334,False
28,20,0.02,0,-0.058333333333333376,0.11666666666666667,False
28,21,0.01,0,-0.050000000000000044,0.125,False
28,22,0.01,0,-0.04166666666666671,0.13333333333333333,False
28,23,0.01,1,-0.04166666666666671,0.13333333333333333,False
28,24,0.02,1,-0.04166666666666671,0,False
28,25,0.05,1,-0.04166666666666671,0,False
28,26,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,27,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,28,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,29,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,30,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,31,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,32,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,33,0.05,1,-0.04166666666666671,0.13333333333333333,False
28,34,0.05,0,-0.04166666666666671,0.13333333333333333,False
